x,y
10,7.97739e-08
9.54993,3.78371e-06
9.12011,8.78195e-06
8.70964,1.48937e-05
8.31764,2.22407e-05
7.94328,3.10041e-05
7.58578,4.13943e-05
7.24436,5.36423e-05
6.91831,6.79983e-05
6.60694,8.47304e-05
6.30958,0.000104127
6.0256,0.000126497
5.7544,0.000152171
5.49541,0.000181506
5.24808,0.000214883
5.01188,0.000252713
4.7863,0.000295435
4.57089,0.000343524
4.36516,0.000397489
4.1687,0.000457875
3.98108,0.00052527
3.8019,0.000600304
3.63078,0.000683653
3.46737,0.000776045
3.31131,0.000878257
3.16228,0.000991127
3.01996,0.00111555
2.88404,0.00125249
2.75423,0.00140297
2.63027,0.0015681
2.51189,0.00174907
2.39884,0.00194713
2.29087,0.00216365
2.18776,0.00240008
2.0893,0.00265797
1.99527,0.00293898
1.90546,0.00324491
1.8197,0.00357764
1.7378,0.00393921
1.65959,0.00433181
1.5849,0.00475776
1.51356,0.00521954
1.44544,0.00571981
1.38039,0.00626142
1.31826,0.00684739
1.25893,0.00748097
1.20227,0.00816561
1.14816,0.008905
1.09648,0.0097031
1.04713,0.0105641
1,0.0114925
0.954995,0.0124931
0.912013,0.0135709
0.870966,0.0147315
0.831766,0.0159807
0.79433,0.0173246
0.75858,0.0187699
0.724438,0.0203236
0.691833,0.0219931
0.660695,0.0237866
0.630959,0.0257125
0.602561,0.0277799
0.575442,0.0299985
0.549542,0.0323786
0.524809,0.034931
0.501189,0.0376676
0.478632,0.0406008
0.45709,0.0437438
0.436517,0.0471106
0.416871,0.0507163
0.398108,0.0545768
0.380191,0.0587091
0.363079,0.0631313
0.346738,0.0678625
0.331132,0.0729233
0.316229,0.0783352
0.301996,0.0841216
0.288404,0.0903068
0.275424,0.0969171
0.263028,0.10398
0.25119,0.111526
0.239884,0.119585
0.229088,0.128191
0.218777,0.13738
0.20893,0.147189
0.199527,0.157658
0.190547,0.168829
0.181971,0.180749
0.173781,0.193464
0.165959,0.207026
0.15849,0.221489
0.151357,0.236909
0.144545,0.253349
0.138039,0.270873
0.131826,0.28955
0.125893,0.309452
0.120227,0.330657
0.114816,0.353247
0.109648,0.37731
0.104713,0.402937
